#X,Acoustic Pressure across Frequency_At Node 3623,Acoustic Pressure across Frequency_At Node 3623
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000264,-40.430258
30.000000,0.000056,-60.352867
40.000000,0.000180,-278.485228
50.000000,0.000348,-298.355210
60.000000,0.000442,-312.880858
70.000000,0.000493,-323.170593
80.000000,0.000522,-330.746178
90.000000,0.000537,-336.584477
100.000000,0.000546,-341.265709
110.000000,0.000549,-345.139738
120.000000,0.000550,-348.425093
130.000000,0.000549,-351.263356
140.000000,0.000546,-353.749319
150.000000,0.000542,-355.948270
160.000000,0.000537,-357.906287
170.000000,0.000531,-359.656613
180.000000,0.000525,-1.223728
190.000000,0.000518,-2.626053
200.000000,0.000511,-3.877778
210.000000,0.000504,-4.990139
220.000000,0.000497,-5.972318
230.000000,0.000489,-6.832100
240.000000,0.000482,-7.576336
250.000000,0.000474,-8.211304
260.000000,0.000467,-8.742948
270.000000,0.000460,-9.177069
280.000000,0.000453,-9.519461
290.000000,0.000447,-9.775986
300.000000,0.000441,-9.952642
310.000000,0.000435,-10.055582
320.000000,0.000429,-10.091121
330.000000,0.000424,-10.065713
340.000000,0.000420,-9.985920
350.000000,0.000415,-9.858356
360.000000,0.000411,-9.689631
370.000000,0.000408,-9.486265
380.000000,0.000405,-9.254620
390.000000,0.000402,-9.000812
400.000000,0.000399,-8.730628
410.000000,0.000397,-8.449451
420.000000,0.000395,-8.162193
430.000000,0.000394,-7.873232
440.000000,0.000393,-7.586377
450.000000,0.000392,-7.304836
460.000000,0.000391,-7.031210
470.000000,0.000391,-6.767498
480.000000,0.000391,-6.515134
490.000000,0.000390,-6.275020
500.000000,0.000391,-6.047594
510.000000,0.000391,-5.832901
520.000000,0.000391,-5.630668
530.000000,0.000392,-5.440405
540.000000,0.000392,-5.261488
550.000000,0.000393,-5.093254
560.000000,0.000393,-4.935091
570.000000,0.000394,-4.786518
580.000000,0.000395,-4.647258
590.000000,0.000396,-4.517298
600.000000,0.000397,-4.396934
610.000000,0.000399,-4.286799
620.000000,0.000400,-4.187876
630.000000,0.000401,-4.101493
640.000000,0.000403,-4.029294
650.000000,0.000405,-3.973203
660.000000,0.000407,-3.935368
670.000000,0.000409,-3.918084
680.000000,0.000411,-3.923721
690.000000,0.000413,-3.954628
700.000000,0.000415,-4.013040
710.000000,0.000417,-4.100980
720.000000,0.000420,-4.220165
730.000000,0.000422,-4.371917
740.000000,0.000424,-4.557077
750.000000,0.000427,-4.775939
760.000000,0.000429,-5.028195
770.000000,0.000431,-5.312892
780.000000,0.000433,-5.628422
790.000000,0.000435,-5.972515
800.000000,0.000436,-6.342268
810.000000,0.000438,-6.734187
820.000000,0.000439,-7.144255
830.000000,0.000440,-7.568011
840.000000,0.000440,-8.000653
850.000000,0.000441,-8.437149
860.000000,0.000440,-8.872355
870.000000,0.000440,-9.301145
880.000000,0.000439,-9.718534
890.000000,0.000439,-10.119794
900.000000,0.000437,-10.500573
910.000000,0.000436,-10.856995
920.000000,0.000435,-11.185739
930.000000,0.000433,-11.484119
940.000000,0.000431,-11.750133
950.000000,0.000429,-11.982490
960.000000,0.000427,-12.180634
970.000000,0.000425,-12.344737
980.000000,0.000423,-12.475673
990.000000,0.000421,-12.574986
1000.000000,0.000420,-12.644828
1010.000000,0.000418,-12.687896
1020.000000,0.000417,-12.707340
1030.000000,0.000415,-12.706679
1040.000000,0.000414,-12.689687
1050.000000,0.000413,-12.660294
1060.000000,0.000412,-12.622465
1070.000000,0.000411,-12.580092
1080.000000,0.000411,-12.536880
1090.000000,0.000411,-12.496249
1100.000000,0.000410,-12.461238
1110.000000,0.000410,-12.434429
1120.000000,0.000410,-12.417882
1130.000000,0.000410,-12.413088
1140.000000,0.000411,-12.420952
1150.000000,0.000411,-12.441784
1160.000000,0.000411,-12.475324
1170.000000,0.000411,-12.520772
1180.000000,0.000412,-12.576875
1190.000000,0.000412,-12.642028
1200.000000,0.000413,-12.714596
1210.000000,0.000414,-12.795980
1220.000000,0.000408,-12.859526
1230.000000,0.000411,-12.941600
1240.000000,0.000411,-13.017833
1250.000000,0.000411,-13.088720
1260.000000,0.000411,-13.152737
1270.000000,0.000411,-13.208463
1280.000000,0.000411,-13.254840
1290.000000,0.000411,-13.291272
1300.000000,0.000411,-13.317677
1310.000000,0.000411,-13.334501
1320.000000,0.000411,-13.342732
1330.000000,0.000411,-13.343870
1340.000000,0.000411,-13.339900
1350.000000,0.000412,-13.333226
1360.000000,0.000412,-13.326615
1370.000000,0.000413,-13.323092
1380.000000,0.000414,-13.325859
1390.000000,0.000414,-13.338177
1400.000000,0.000415,-13.363260
1410.000000,0.000417,-13.404157
1420.000000,0.000418,-13.463584
1430.000000,0.000419,-13.544750
1440.000000,0.000420,-13.647999
1450.000000,0.000422,-13.775883
1460.000000,0.000423,-13.928959
1470.000000,0.000424,-14.107343
1480.000000,0.000426,-14.310492
1490.000000,0.000427,-14.537194
1500.000000,0.000428,-14.785583
1510.000000,0.000429,-15.053191
1520.000000,0.000430,-15.337013
1530.000000,0.000430,-15.633585
1540.000000,0.000431,-15.939087
1550.000000,0.000431,-16.249456
1560.000000,0.000431,-16.560499
1570.000000,0.000430,-16.868006
1580.000000,0.000430,-17.167885
1590.000000,0.000429,-17.456259
1600.000000,0.000428,-17.729572
1610.000000,0.000428,-17.984692
1620.000000,0.000426,-18.218978
1630.000000,0.000425,-18.430345
1640.000000,0.000424,-18.617317
1650.000000,0.000423,-18.779050
1660.000000,0.000421,-18.915330
1670.000000,0.000420,-19.026599
1680.000000,0.000419,-19.113901
1690.000000,0.000418,-19.178856
1700.000000,0.000417,-19.223607
1710.000000,0.000416,-19.250749
1720.000000,0.000415,-19.263248
1730.000000,0.000414,-19.264359
1740.000000,0.000414,-19.257515
1750.000000,0.000413,-19.246228
1760.000000,0.000413,-19.233989
1770.000000,0.000413,-19.224154
1780.000000,0.000413,-19.219850
1790.000000,0.000413,-19.223874
1800.000000,0.000413,-19.238617
1810.000000,0.000413,-19.265993
1820.000000,0.000414,-19.307382
1830.000000,0.000414,-19.363613
1840.000000,0.000415,-19.434924
1850.000000,0.000415,-19.520996
1860.000000,0.000416,-19.620963
1870.000000,0.000416,-19.733368
1880.000000,0.000416,-19.856920
1890.000000,0.000417,-19.988727
1900.000000,0.000417,-20.126771
1910.000000,0.000417,-20.268402
1920.000000,0.000417,-20.410952
1930.000000,0.000417,-20.551771
1940.000000,0.000416,-20.688332
1950.000000,0.000416,-20.818322
1960.000000,0.000416,-20.939719
1970.000000,0.000416,-21.050863
1980.000000,0.000415,-21.150511
1990.000000,0.000415,-21.237884
2000.000000,0.000414,-21.312692


