#X,Acoustic Pressure across Frequency(3)_At Node 3626,Acoustic Pressure across Frequency(3)_At Node 3626
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000289,-51.139054
30.000000,0.000107,-82.848259
40.000000,0.000105,-294.662193
50.000000,0.000262,-320.735086
60.000000,0.000353,-340.430027
70.000000,0.000404,-355.674484
80.000000,0.000434,-8.124617
90.000000,0.000452,-18.799646
100.000000,0.000462,-28.297982
110.000000,0.000469,-36.979095
120.000000,0.000472,-45.067468
130.000000,0.000474,-52.708916
140.000000,0.000474,-60.001565
150.000000,0.000473,-67.013577
160.000000,0.000471,-73.793626
170.000000,0.000469,-80.377400
180.000000,0.000466,-86.791709
190.000000,0.000463,-93.057205
200.000000,0.000460,-99.190211
210.000000,0.000456,-105.203979
220.000000,0.000452,-111.109568
230.000000,0.000449,-116.916460
240.000000,0.000445,-122.633003
250.000000,0.000441,-128.266723
260.000000,0.000437,-133.824536
270.000000,0.000434,-139.312918
280.000000,0.000431,-144.737981
290.000000,0.000427,-150.105565
300.000000,0.000424,-155.421269
310.000000,0.000421,-160.690480
320.000000,0.000419,-165.918361
330.000000,0.000416,-171.109878
340.000000,0.000414,-176.269772
350.000000,0.000412,-181.402555
360.000000,0.000410,-186.512491
370.000000,0.000408,-191.603580
380.000000,0.000407,-196.679545
390.000000,0.000406,-201.743811
400.000000,0.000405,-206.799493
410.000000,0.000404,-211.849392
420.000000,0.000403,-216.895981
430.000000,0.000403,-221.941390
440.000000,0.000402,-226.987435
450.000000,0.000402,-232.035598
460.000000,0.000402,-237.087048
470.000000,0.000402,-242.142665
480.000000,0.000402,-247.203054
490.000000,0.000402,-252.268576
500.000000,0.000402,-257.339378
510.000000,0.000402,-262.415446
520.000000,0.000402,-267.496623
530.000000,0.000403,-272.582670
540.000000,0.000403,-277.673302
550.000000,0.000403,-282.768235
560.000000,0.000404,-287.867221
570.000000,0.000404,-292.970097
580.000000,0.000405,-298.076804
590.000000,0.000406,-303.187419
600.000000,0.000406,-308.302186
610.000000,0.000407,-313.421510
620.000000,0.000408,-318.545963
630.000000,0.000409,-323.676297
640.000000,0.000409,-328.813417
650.000000,0.000410,-333.958355
660.000000,0.000411,-339.112256
670.000000,0.000412,-344.276334
680.000000,0.000413,-349.451829
690.000000,0.000415,-354.639971
700.000000,0.000416,-359.841918
710.000000,0.000417,-5.058714
720.000000,0.000418,-10.291234
730.000000,0.000419,-15.540132
740.000000,0.000420,-20.805796
750.000000,0.000422,-26.088306
760.000000,0.000423,-31.387395
770.000000,0.000424,-36.702440
780.000000,0.000425,-42.032427
790.000000,0.000425,-47.375962
800.000000,0.000426,-52.731306
810.000000,0.000427,-58.096346
820.000000,0.000427,-63.468704
830.000000,0.000427,-68.845753
840.000000,0.000427,-74.224690
850.000000,0.000427,-79.602616
860.000000,0.000427,-84.976618
870.000000,0.000427,-90.343848
880.000000,0.000426,-95.701604
890.000000,0.000426,-101.047411
900.000000,0.000425,-106.379079
910.000000,0.000424,-111.694774
920.000000,0.000423,-116.993039
930.000000,0.000422,-122.272851
940.000000,0.000421,-127.533615
950.000000,0.000420,-132.775169
960.000000,0.000419,-137.997785
970.000000,0.000418,-143.202124
980.000000,0.000417,-148.389223
990.000000,0.000416,-153.560429
1000.000000,0.000415,-158.717378
1010.000000,0.000414,-163.861923
1020.000000,0.000414,-168.996068
1030.000000,0.000413,-174.121933
1040.000000,0.000413,-179.241680
1050.000000,0.000412,-184.357461
1060.000000,0.000412,-189.471358
1070.000000,0.000412,-194.585339
1080.000000,0.000412,-199.701198
1090.000000,0.000412,-204.820532
1100.000000,0.000412,-209.944698
1110.000000,0.000412,-215.074775
1120.000000,0.000412,-220.211572
1130.000000,0.000412,-225.355625
1140.000000,0.000412,-230.507182
1150.000000,0.000412,-235.666273
1160.000000,0.000412,-240.832781
1170.000000,0.000413,-246.006614
1180.000000,0.000413,-251.188125
1190.000000,0.000413,-256.379443
1200.000000,0.000413,-261.590697
1210.000000,0.000414,-266.910158
1220.000000,0.000411,-271.575588
1230.000000,0.000412,-276.966757
1240.000000,0.000413,-282.181923
1250.000000,0.000413,-287.372526
1260.000000,0.000413,-292.552312
1270.000000,0.000413,-297.724544
1280.000000,0.000413,-302.890371
1290.000000,0.000413,-308.050442
1300.000000,0.000413,-313.205373
1310.000000,0.000413,-318.355903
1320.000000,0.000413,-323.502964
1330.000000,0.000413,-328.647672
1340.000000,0.000413,-333.791331
1350.000000,0.000414,-338.935397
1360.000000,0.000414,-344.081440
1370.000000,0.000414,-349.231097
1380.000000,0.000415,-354.386021
1390.000000,0.000415,-359.547831
1400.000000,0.000416,-4.718052
1410.000000,0.000417,-9.898064
1420.000000,0.000417,-15.089052
1430.000000,0.000418,-20.291949
1440.000000,0.000419,-25.507411
1450.000000,0.000419,-30.735765
1460.000000,0.000420,-35.976981
1470.000000,0.000421,-41.230681
1480.000000,0.000421,-46.496113
1490.000000,0.000422,-51.772171
1500.000000,0.000422,-57.057410
1510.000000,0.000422,-62.350091
1520.000000,0.000422,-67.648211
1530.000000,0.000423,-72.949594
1540.000000,0.000423,-78.251918
1550.000000,0.000422,-83.552814
1560.000000,0.000422,-88.849929
1570.000000,0.000422,-94.141004
1580.000000,0.000421,-99.423942
1590.000000,0.000421,-104.696872
1600.000000,0.000420,-109.958210
1610.000000,0.000420,-115.206688
1620.000000,0.000419,-120.441407
1630.000000,0.000418,-125.661835
1640.000000,0.000417,-130.867827
1650.000000,0.000417,-136.059623
1660.000000,0.000416,-141.237808
1670.000000,0.000415,-146.403301
1680.000000,0.000415,-151.557320
1690.000000,0.000414,-156.701333
1700.000000,0.000414,-161.837015
1710.000000,0.000413,-166.966182
1720.000000,0.000413,-172.090748
1730.000000,0.000413,-177.212666
1740.000000,0.000413,-182.333871
1750.000000,0.000413,-187.456224
1760.000000,0.000413,-192.581464
1770.000000,0.000413,-197.711159
1780.000000,0.000413,-202.846662
1790.000000,0.000413,-207.989076
1800.000000,0.000413,-213.139239
1810.000000,0.000413,-218.297667
1820.000000,0.000414,-223.464591
1830.000000,0.000414,-228.639918
1840.000000,0.000414,-233.823268
1850.000000,0.000415,-239.013955
1860.000000,0.000415,-244.211052
1870.000000,0.000415,-249.413249
1880.000000,0.000415,-254.620196
1890.000000,0.000415,-259.829071
1900.000000,0.000415,-265.039136
1910.000000,0.000415,-270.248830
1920.000000,0.000415,-275.456713
1930.000000,0.000415,-280.661460
1940.000000,0.000415,-285.861906
1950.000000,0.000415,-291.057090
1960.000000,0.000415,-296.246278
1970.000000,0.000414,-301.429005
1980.000000,0.000414,-306.605072
1990.000000,0.000414,-311.774570
2000.000000,0.000414,-316.937857


