#X,Acoustic Pressure across Frequency(2)_At Node 632
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude
20.000000,1.623638E-04
21.000000,1.557958E-04
22.000000,1.496998E-04
23.000000,1.440313E-04
24.000000,1.387508E-04
25.000000,1.338225E-04
26.000000,1.292150E-04
27.000000,1.248997E-04
28.000000,1.208514E-04
29.000000,1.170473E-04
30.000000,1.134670E-04
31.000000,1.100924E-04
32.000000,1.069070E-04
33.000000,1.038959E-04
34.000000,1.010457E-04
35.000000,9.834439E-05
36.000000,9.578099E-05
37.000000,9.334554E-05
38.000000,9.102899E-05
39.000000,8.882314E-05
40.000000,8.672043E-05
41.000000,8.471404E-05
42.000000,8.279764E-05
43.000000,8.096549E-05
44.000000,7.921231E-05
45.000000,7.753321E-05
46.000000,7.592372E-05
47.000000,7.437968E-05
48.000000,7.289730E-05
49.000000,7.147304E-05
50.000000,7.010361E-05
51.000000,6.878600E-05
52.000000,6.751737E-05
53.000000,6.629510E-05
54.000000,6.511677E-05
55.000000,6.398009E-05
56.000000,6.288293E-05
57.000000,6.182333E-05
58.000000,6.079942E-05
59.000000,5.980948E-05
60.000000,5.885187E-05
61.000000,5.792508E-05
62.000000,5.702767E-05
63.000000,5.615830E-05
64.000000,5.531570E-05
65.000000,5.449870E-05
66.000000,5.370615E-05
67.000000,5.293701E-05
68.000000,5.219028E-05
69.000000,5.146502E-05
70.000000,5.076033E-05
71.000000,5.007539E-05
72.000000,4.940938E-05
73.000000,4.876155E-05
74.000000,4.813119E-05
75.000000,4.751762E-05
76.000000,4.692019E-05
77.000000,4.633830E-05
78.000000,4.577135E-05
79.000000,4.521881E-05
80.000000,4.468014E-05
81.000000,4.415484E-05
82.000000,4.364243E-05
83.000000,4.314246E-05
84.000000,4.265450E-05
85.000000,4.217812E-05
86.000000,4.171294E-05
87.000000,4.125858E-05
88.000000,4.081469E-05
89.000000,4.038090E-05
90.000000,3.995689E-05
91.000000,3.954235E-05
92.000000,3.913698E-05
93.000000,3.874048E-05
94.000000,3.835258E-05
95.000000,3.797300E-05
96.000000,3.760151E-05
97.000000,3.723784E-05
98.000000,3.688178E-05
99.000000,3.653308E-05
100.000000,3.619152E-05
101.000000,3.585692E-05
102.000000,3.552906E-05
103.000000,3.520775E-05
104.000000,3.489281E-05
105.000000,3.458405E-05
106.000000,3.428130E-05
107.000000,3.398440E-05
108.000000,3.369319E-05
109.000000,3.340752E-05
110.000000,3.312723E-05
111.000000,3.285219E-05
112.000000,3.258225E-05
113.000000,3.231728E-05
114.000000,3.205716E-05
115.000000,3.180176E-05
116.000000,3.155095E-05
117.000000,3.130463E-05
118.000000,3.106267E-05
119.000000,3.082499E-05
120.000000,3.059145E-05
121.000000,3.036198E-05
122.000000,3.013646E-05
123.000000,2.991481E-05
124.000000,2.969693E-05
125.000000,2.948273E-05
126.000000,2.927213E-05
127.000000,2.906504E-05
128.000000,2.886138E-05
129.000000,2.866108E-05
130.000000,2.846405E-05
131.000000,2.827023E-05
132.000000,2.807954E-05
133.000000,2.789191E-05
134.000000,2.770728E-05
135.000000,2.752558E-05
136.000000,2.734675E-05
137.000000,2.717072E-05
138.000000,2.699744E-05
139.000000,2.682684E-05
140.000000,2.665887E-05
141.000000,2.649348E-05
142.000000,2.633062E-05
143.000000,2.617023E-05
144.000000,2.601225E-05
145.000000,2.585665E-05
146.000000,2.570337E-05
147.000000,2.555236E-05
148.000000,2.540359E-05
149.000000,2.525701E-05
150.000000,2.511258E-05
151.000000,2.497024E-05
152.000000,2.482997E-05
153.000000,2.469173E-05
154.000000,2.455547E-05
155.000000,2.442115E-05
156.000000,2.428875E-05
157.000000,2.415823E-05
158.000000,2.402954E-05
159.000000,2.390267E-05
160.000000,2.377756E-05
161.000000,2.365420E-05
162.000000,2.353256E-05
163.000000,2.341259E-05
164.000000,2.329427E-05
165.000000,2.317757E-05
166.000000,2.306246E-05
167.000000,2.294893E-05
168.000000,2.283693E-05
169.000000,2.272644E-05
170.000000,2.261743E-05
171.000000,2.250989E-05
172.000000,2.240378E-05
173.000000,2.229909E-05
174.000000,2.219578E-05
175.000000,2.209384E-05
176.000000,2.199324E-05
177.000000,2.189397E-05
178.000000,2.179599E-05
179.000000,2.169930E-05
180.000000,2.160386E-05
181.000000,2.150966E-05
182.000000,2.141668E-05
183.000000,2.132490E-05
184.000000,2.123430E-05
185.000000,2.114487E-05
186.000000,2.105658E-05
187.000000,2.096941E-05
188.000000,2.088336E-05
189.000000,2.079840E-05
190.000000,2.071452E-05
191.000000,2.063170E-05
192.000000,2.054992E-05
193.000000,2.046918E-05
194.000000,2.038945E-05
195.000000,2.031072E-05
196.000000,2.023298E-05
197.000000,2.015620E-05
198.000000,2.008039E-05
199.000000,2.000552E-05
200.000000,1.993158E-05
201.000000,1.985856E-05
202.000000,1.978644E-05
203.000000,1.971522E-05
204.000000,1.964488E-05
205.000000,1.957540E-05
206.000000,1.950679E-05
207.000000,1.943901E-05
208.000000,1.937207E-05
209.000000,1.930596E-05
210.000000,1.924066E-05
211.000000,1.917615E-05
212.000000,1.911244E-05
213.000000,1.904951E-05
214.000000,1.898735E-05
215.000000,1.892595E-05
216.000000,1.886530E-05
217.000000,1.880539E-05
218.000000,1.874621E-05
219.000000,1.868776E-05
220.000000,1.863002E-05
221.000000,1.857299E-05
222.000000,1.851665E-05
223.000000,1.846100E-05
224.000000,1.840604E-05
225.000000,1.835174E-05
226.000000,1.829811E-05
227.000000,1.824513E-05
228.000000,1.819280E-05
229.000000,1.814111E-05
230.000000,1.809006E-05
231.000000,1.803963E-05
232.000000,1.798982E-05
233.000000,1.794062E-05
234.000000,1.789202E-05
235.000000,1.784403E-05
236.000000,1.779662E-05
237.000000,1.774980E-05
238.000000,1.770356E-05
239.000000,1.765789E-05
240.000000,1.761279E-05
241.000000,1.756825E-05
242.000000,1.752426E-05
243.000000,1.748082E-05
244.000000,1.743792E-05
245.000000,1.739555E-05
246.000000,1.735372E-05
247.000000,1.731242E-05
248.000000,1.727163E-05
249.000000,1.723136E-05
250.000000,1.719160E-05
251.000000,1.715234E-05
252.000000,1.711358E-05
253.000000,1.707532E-05
254.000000,1.703755E-05
255.000000,1.700026E-05
256.000000,1.696345E-05
257.000000,1.692712E-05
258.000000,1.689126E-05
259.000000,1.685587E-05
260.000000,1.682094E-05
261.000000,1.678647E-05
262.000000,1.675245E-05
263.000000,1.671888E-05
264.000000,1.668576E-05
265.000000,1.665308E-05
266.000000,1.662083E-05
267.000000,1.658902E-05
268.000000,1.655765E-05
269.000000,1.652669E-05
270.000000,1.649617E-05
271.000000,1.646605E-05
272.000000,1.643636E-05
273.000000,1.640708E-05
274.000000,1.637821E-05
275.000000,1.634974E-05
276.000000,1.632167E-05
277.000000,1.629401E-05
278.000000,1.626674E-05
279.000000,1.623986E-05
280.000000,1.621337E-05
281.000000,1.618727E-05
282.000000,1.616155E-05
283.000000,1.613621E-05
284.000000,1.611125E-05
285.000000,1.608666E-05
286.000000,1.606245E-05
287.000000,1.603861E-05
288.000000,1.601513E-05
289.000000,1.599202E-05
290.000000,1.596926E-05
291.000000,1.594687E-05
292.000000,1.592483E-05
293.000000,1.590315E-05
294.000000,1.588182E-05
295.000000,1.586084E-05
296.000000,1.584020E-05
297.000000,1.581991E-05
298.000000,1.579996E-05
299.000000,1.578035E-05
300.000000,1.576108E-05
301.000000,1.574215E-05
302.000000,1.572355E-05
303.000000,1.570528E-05
304.000000,1.568734E-05
305.000000,1.566973E-05
306.000000,1.565244E-05
307.000000,1.563548E-05
308.000000,1.561884E-05
309.000000,1.560252E-05
310.000000,1.558652E-05
311.000000,1.557083E-05
312.000000,1.555546E-05
313.000000,1.554041E-05
314.000000,1.552566E-05
315.000000,1.551123E-05
316.000000,1.549710E-05
317.000000,1.548328E-05
318.000000,1.546976E-05
319.000000,1.545655E-05
320.000000,1.544364E-05
321.000000,1.543103E-05
322.000000,1.541872E-05
323.000000,1.540671E-05
324.000000,1.539500E-05
325.000000,1.538358E-05
326.000000,1.537245E-05
327.000000,1.536162E-05
328.000000,1.535108E-05
329.000000,1.534082E-05
330.000000,1.533086E-05
331.000000,1.532119E-05
332.000000,1.531180E-05
333.000000,1.530270E-05
334.000000,1.529388E-05
335.000000,1.528535E-05
336.000000,1.527710E-05
337.000000,1.526913E-05
338.000000,1.526144E-05
339.000000,1.525403E-05
340.000000,1.524690E-05
341.000000,1.524005E-05
342.000000,1.523348E-05
343.000000,1.522718E-05
344.000000,1.522115E-05
345.000000,1.521540E-05
346.000000,1.520993E-05
347.000000,1.520473E-05
348.000000,1.519980E-05
349.000000,1.519514E-05
350.000000,1.519075E-05
351.000000,1.518663E-05
352.000000,1.518278E-05
353.000000,1.517920E-05
354.000000,1.517589E-05
355.000000,1.517285E-05
356.000000,1.517007E-05
357.000000,1.516757E-05
358.000000,1.516532E-05
359.000000,1.516335E-05
360.000000,1.516164E-05
361.000000,1.516019E-05
362.000000,1.515901E-05
363.000000,1.515809E-05
364.000000,1.515743E-05
365.000000,1.515704E-05
366.000000,1.515691E-05
367.000000,1.515705E-05
368.000000,1.515745E-05
369.000000,1.515811E-05
370.000000,1.515903E-05
371.000000,1.516021E-05
372.000000,1.516165E-05
373.000000,1.516336E-05
374.000000,1.516533E-05
375.000000,1.516755E-05
376.000000,1.517004E-05
377.000000,1.517279E-05
378.000000,1.517580E-05
379.000000,1.517908E-05
380.000000,1.518261E-05
381.000000,1.518640E-05
382.000000,1.519045E-05
383.000000,1.519477E-05
384.000000,1.519934E-05
385.000000,1.520418E-05
386.000000,1.520927E-05
387.000000,1.521463E-05
388.000000,1.522025E-05
389.000000,1.522613E-05
390.000000,1.523227E-05
391.000000,1.523867E-05
392.000000,1.524534E-05
393.000000,1.525226E-05
394.000000,1.525945E-05
395.000000,1.526690E-05
396.000000,1.527462E-05
397.000000,1.528260E-05
398.000000,1.529084E-05
399.000000,1.529934E-05
400.000000,1.530811E-05
401.000000,1.531715E-05
402.000000,1.532645E-05
403.000000,1.533601E-05
404.000000,1.534584E-05
405.000000,1.535594E-05
406.000000,1.536630E-05
407.000000,1.537693E-05
408.000000,1.538783E-05
409.000000,1.539900E-05
410.000000,1.541044E-05
411.000000,1.542215E-05
412.000000,1.543412E-05
413.000000,1.544637E-05
414.000000,1.545889E-05
415.000000,1.547168E-05
416.000000,1.548475E-05
417.000000,1.549809E-05
418.000000,1.551170E-05
419.000000,1.552559E-05
420.000000,1.553976E-05
421.000000,1.555420E-05
422.000000,1.556892E-05
423.000000,1.558392E-05
424.000000,1.559920E-05
425.000000,1.561476E-05
426.000000,1.563060E-05
427.000000,1.564673E-05
428.000000,1.566314E-05
429.000000,1.567983E-05
430.000000,1.569681E-05
431.000000,1.571407E-05
432.000000,1.573163E-05
433.000000,1.574947E-05
434.000000,1.576760E-05
435.000000,1.578602E-05
436.000000,1.580474E-05
437.000000,1.582374E-05
438.000000,1.584305E-05
439.000000,1.586265E-05
440.000000,1.588254E-05
441.000000,1.590274E-05
442.000000,1.592324E-05
443.000000,1.594403E-05
444.000000,1.596513E-05
445.000000,1.598654E-05
446.000000,1.600825E-05
447.000000,1.603026E-05
448.000000,1.605259E-05
449.000000,1.607523E-05
450.000000,1.609818E-05
451.000000,1.612144E-05
452.000000,1.614501E-05
453.000000,1.616891E-05
454.000000,1.619312E-05
455.000000,1.621765E-05
456.000000,1.624251E-05
457.000000,1.626768E-05
458.000000,1.629319E-05
459.000000,1.631902E-05
460.000000,1.634518E-05
461.000000,1.637167E-05
462.000000,1.639850E-05
463.000000,1.642566E-05
464.000000,1.645315E-05
465.000000,1.648099E-05
466.000000,1.650917E-05
467.000000,1.653769E-05
468.000000,1.656655E-05
469.000000,1.659577E-05
470.000000,1.662533E-05
471.000000,1.665525E-05
472.000000,1.668552E-05
473.000000,1.671615E-05
474.000000,1.674714E-05
475.000000,1.677848E-05
476.000000,1.681020E-05
477.000000,1.684228E-05
478.000000,1.687473E-05
479.000000,1.690755E-05
480.000000,1.694074E-05
481.000000,1.697432E-05
482.000000,1.700827E-05
483.000000,1.704260E-05
484.000000,1.707732E-05
485.000000,1.711243E-05
486.000000,1.714793E-05
487.000000,1.718383E-05
488.000000,1.722012E-05
489.000000,1.725681E-05
490.000000,1.729390E-05
491.000000,1.733140E-05
492.000000,1.736931E-05
493.000000,1.740763E-05
494.000000,1.744637E-05
495.000000,1.748553E-05
496.000000,1.752511E-05
497.000000,1.756511E-05
498.000000,1.760555E-05
499.000000,1.764642E-05
500.000000,1.768772E-05
501.000000,1.772947E-05
502.000000,1.777166E-05
503.000000,1.781430E-05
504.000000,1.785739E-05
505.000000,1.790093E-05
506.000000,1.794494E-05
507.000000,1.798941E-05
508.000000,1.803434E-05
509.000000,1.807975E-05
510.000000,1.812564E-05
511.000000,1.817200E-05
512.000000,1.821885E-05
513.000000,1.826619E-05
514.000000,1.831402E-05
515.000000,1.836235E-05
516.000000,1.841118E-05
517.000000,1.846052E-05
518.000000,1.851037E-05
519.000000,1.856074E-05
520.000000,1.861164E-05
521.000000,1.866306E-05
522.000000,1.871501E-05
523.000000,1.876750E-05
524.000000,1.882053E-05
525.000000,1.887411E-05
526.000000,1.892824E-05
527.000000,1.898293E-05
528.000000,1.903819E-05
529.000000,1.909402E-05
530.000000,1.915042E-05
531.000000,1.920740E-05
532.000000,1.926498E-05
533.000000,1.932314E-05
534.000000,1.938191E-05
535.000000,1.944129E-05
536.000000,1.950127E-05
537.000000,1.956188E-05
538.000000,1.962311E-05
539.000000,1.968498E-05
540.000000,1.974748E-05
541.000000,1.981064E-05
542.000000,1.987444E-05
543.000000,1.993891E-05
544.000000,2.000404E-05
545.000000,2.006985E-05
546.000000,2.013635E-05
547.000000,2.020353E-05
548.000000,2.027142E-05
549.000000,2.034000E-05
550.000000,2.040931E-05
551.000000,2.047934E-05
552.000000,2.055010E-05
553.000000,2.062159E-05
554.000000,2.069384E-05
555.000000,2.076685E-05
556.000000,2.084062E-05
557.000000,2.091516E-05
558.000000,2.099049E-05
559.000000,2.106662E-05
560.000000,2.114355E-05
561.000000,2.122129E-05
562.000000,2.129985E-05
563.000000,2.137925E-05
564.000000,2.145949E-05
565.000000,2.154059E-05
566.000000,2.162255E-05
567.000000,2.170539E-05
568.000000,2.178912E-05
569.000000,2.187374E-05
570.000000,2.195927E-05
571.000000,2.204573E-05
572.000000,2.213312E-05
573.000000,2.222145E-05
574.000000,2.231074E-05
575.000000,2.240100E-05
576.000000,2.249225E-05
577.000000,2.258449E-05
578.000000,2.267774E-05
579.000000,2.277202E-05
580.000000,2.286733E-05
581.000000,2.296369E-05
582.000000,2.306112E-05
583.000000,2.315963E-05
584.000000,2.325923E-05
585.000000,2.335995E-05
586.000000,2.346179E-05
587.000000,2.356477E-05
588.000000,2.366891E-05
589.000000,2.377422E-05
590.000000,2.388073E-05
591.000000,2.398844E-05
592.000000,2.409738E-05
593.000000,2.420756E-05
594.000000,2.431900E-05
595.000000,2.443173E-05
596.000000,2.454575E-05
597.000000,2.466109E-05
598.000000,2.477777E-05
599.000000,2.489580E-05
600.000000,2.501521E-05
601.000000,2.513603E-05
602.000000,2.525826E-05
603.000000,2.538194E-05
604.000000,2.550708E-05
605.000000,2.563371E-05
606.000000,2.576185E-05
607.000000,2.589152E-05
608.000000,2.602276E-05
609.000000,2.615557E-05
610.000000,2.629000E-05
611.000000,2.642606E-05
612.000000,2.656378E-05
613.000000,2.670319E-05
614.000000,2.684432E-05
615.000000,2.698719E-05
616.000000,2.713183E-05
617.000000,2.727827E-05
618.000000,2.742655E-05
619.000000,2.757669E-05
620.000000,2.772873E-05
621.000000,2.788269E-05
622.000000,2.803862E-05
623.000000,2.819653E-05
624.000000,2.835648E-05
625.000000,2.851850E-05
626.000000,2.868261E-05
627.000000,2.884886E-05
628.000000,2.901729E-05
629.000000,2.918793E-05
630.000000,2.936082E-05
631.000000,2.953602E-05
632.000000,2.971355E-05
633.000000,2.989346E-05
634.000000,3.007579E-05
635.000000,3.026060E-05
636.000000,3.044792E-05
637.000000,3.063780E-05
638.000000,3.083030E-05
639.000000,3.102546E-05
640.000000,3.122333E-05
641.000000,3.142396E-05
642.000000,3.162742E-05
643.000000,3.183374E-05
644.000000,3.204301E-05
645.000000,3.225526E-05
646.000000,3.247055E-05
647.000000,3.268896E-05
648.000000,3.291055E-05
649.000000,3.313537E-05
650.000000,3.336349E-05
651.000000,3.359499E-05
652.000000,3.382993E-05
653.000000,3.406840E-05
654.000000,3.431044E-05
655.000000,3.455616E-05
656.000000,3.480561E-05
657.000000,3.505890E-05
658.000000,3.531609E-05
659.000000,3.557728E-05
660.000000,3.584255E-05
661.000000,3.611200E-05
662.000000,3.638571E-05
663.000000,3.666379E-05
664.000000,3.694632E-05
665.000000,3.723343E-05
666.000000,3.752520E-05
667.000000,3.782175E-05
668.000000,3.812319E-05
669.000000,3.842963E-05
670.000000,3.874121E-05
671.000000,3.905803E-05
672.000000,3.938022E-05
673.000000,3.970793E-05
674.000000,4.004127E-05
675.000000,4.038040E-05
676.000000,4.072545E-05
677.000000,4.107658E-05
678.000000,4.143394E-05
679.000000,4.179769E-05
680.000000,4.216799E-05
681.000000,4.254502E-05
682.000000,4.292895E-05
683.000000,4.331997E-05
684.000000,4.371826E-05
685.000000,4.412402E-05
686.000000,4.453746E-05
687.000000,4.495878E-05
688.000000,4.538821E-05
689.000000,4.582597E-05
690.000000,4.627230E-05
691.000000,4.672743E-05
692.000000,4.719163E-05
