$FREQUENCY =   0.2000000E+02,,,,,,
720,4.40E-04,-9.98E-01,-2.59E-04,1.62E-04,7.86E-04,-9.84E-05
721,4.40E-04,-9.98E-01,-2.59E-04,1.62E-04,7.86E-04,-9.84E-05
722,-6.99E-04,-1.51E-01,-1.91E-05,-2.74E-04,3.76E-01,-1.83E-05
723,-4.01E-05,-1.49E-01,2.34E-05,-8.51E-05,3.77E-01,5.22E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3000000E+02,,,,,,
720,4.36E-04,-9.98E-01,-2.57E-04,1.19E-04,5.78E-04,-7.24E-05
721,4.36E-04,-9.98E-01,-2.57E-04,1.19E-04,5.78E-04,-7.24E-05
722,-7.71E-04,-6.60E-02,-2.47E-05,-1.84E-04,2.76E-01,-1.38E-05
723,-8.19E-05,-6.35E-02,4.93E-05,-8.20E-05,2.77E-01,5.05E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4000000E+02,,,,,,
720,3.95E-04,-9.99E-01,-2.32E-04,9.30E-05,4.51E-04,-5.65E-05
721,3.95E-04,-9.99E-01,-2.32E-04,9.30E-05,4.51E-04,-5.65E-05
722,-8.02E-04,-3.21E-02,-2.74E-05,-1.23E-04,2.15E-01,-1.02E-05
723,-1.06E-04,-2.94E-02,6.43E-05,-6.88E-05,2.15E-01,4.24E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.5000000E+02,,,,,,
720,3.29E-04,-9.99E-01,-1.93E-04,7.61E-05,3.69E-04,-4.62E-05
721,3.29E-04,-9.99E-01,-1.93E-04,7.61E-05,3.69E-04,-4.62E-05
722,-8.18E-04,-1.57E-02,-2.89E-05,-7.82E-05,1.75E-01,-7.42E-06
723,-1.20E-04,-1.29E-02,7.30E-05,-5.53E-05,1.75E-01,3.40E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.6000000E+02,,,,,,
720,2.45E-04,-9.99E-01,-1.42E-04,6.45E-05,3.13E-04,-3.92E-05
721,2.45E-04,-9.99E-01,-1.42E-04,6.45E-05,3.13E-04,-3.92E-05
722,-8.29E-04,-6.52E-03,-2.98E-05,-4.29E-05,1.47E-01,-5.17E-06
723,-1.29E-04,-3.70E-03,7.82E-05,-4.35E-05,1.47E-01,2.67E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.7000000E+02,,,,,,
720,1.42E-04,-1.00E+00,-8.04E-05,5.61E-05,2.72E-04,-3.41E-05
721,1.42E-04,-1.00E+00,-8.04E-05,5.61E-05,2.72E-04,-3.41E-05
722,-8.37E-04,-9.64E-04,-3.04E-05,-1.34E-05,1.27E-01,-3.30E-06
723,-1.34E-04,1.89E-03,8.16E-05,-3.34E-05,1.27E-01,2.06E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.8000000E+02,,,,,,
720,2.18E-05,-1.00E+00,-8.05E-06,4.98E-05,2.42E-04,-3.03E-05
721,2.18E-05,-1.00E+00,-8.05E-06,4.98E-05,2.42E-04,-3.03E-05
722,-8.44E-04,2.66E-03,-3.09E-05,1.23E-05,1.12E-01,-1.70E-06
723,-1.38E-04,5.53E-03,8.39E-05,-2.48E-05,1.12E-01,1.53E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.9000000E+02,,,,,,
720,-1.16E-04,-1.00E+00,7.47E-05,4.49E-05,2.18E-04,-2.73E-05
721,-1.16E-04,-1.00E+00,7.47E-05,4.49E-05,2.18E-04,-2.73E-05
722,-8.50E-04,5.15E-03,-3.12E-05,3.55E-05,1.00E-01,-2.73E-07
723,-1.41E-04,8.05E-03,8.56E-05,-1.73E-05,1.00E-01,1.06E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.1000000E+03,,,,,,
720,-2.71E-04,-1.00E+00,1.68E-04,4.11E-05,2.00E-04,-2.50E-05
721,-2.71E-04,-1.00E+00,1.68E-04,4.11E-05,2.00E-04,-2.50E-05
722,-8.57E-04,6.95E-03,-3.15E-05,5.70E-05,9.07E-02,1.02E-06
723,-1.43E-04,9.87E-03,8.69E-05,-1.06E-05,9.05E-02,6.53E-06
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.1100000E+03,,,,,,
720,-4.43E-04,-1.00E+00,2.72E-04,3.80E-05,1.85E-04,-2.31E-05
721,-4.43E-04,-1.00E+00,2.72E-04,3.80E-05,1.85E-04,-2.31E-05
722,-8.63E-04,8.29E-03,-3.17E-05,7.74E-05,8.30E-02,2.23E-06
723,-1.45E-04,1.12E-02,8.81E-05,-4.47E-06,8.27E-02,2.82E-06
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.1200000E+03,,,,,,
720,-6.33E-04,-1.00E+00,3.86E-04,3.55E-05,1.73E-04,-2.16E-05
721,-6.33E-04,-1.00E+00,3.86E-04,3.55E-05,1.73E-04,-2.16E-05
722,-8.70E-04,9.33E-03,-3.20E-05,9.71E-05,7.66E-02,3.36E-06
723,-1.47E-04,1.23E-02,8.91E-05,1.15E-06,7.62E-02,-6.06E-07
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.1300000E+03,,,,,,
720,-8.41E-04,-1.01E+00,5.12E-04,3.35E-05,1.63E-04,-2.04E-05
721,-8.41E-04,-1.01E+00,5.12E-04,3.35E-05,1.63E-04,-2.04E-05
722,-8.78E-04,1.02E-02,-3.22E-05,1.16E-04,7.12E-02,4.45E-06
723,-1.48E-04,1.32E-02,9.00E-05,6.41E-06,7.08E-02,-3.81E-06
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.1400000E+03,,,,,,
720,-1.07E-03,-1.01E+00,6.48E-04,3.18E-05,1.54E-04,-1.93E-05
721,-1.07E-03,-1.01E+00,6.48E-04,3.18E-05,1.54E-04,-1.93E-05
722,-8.86E-04,1.09E-02,-3.25E-05,1.35E-04,6.66E-02,5.51E-06
723,-1.50E-04,1.39E-02,9.09E-05,1.14E-05,6.61E-02,-6.84E-06
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.1500000E+03,,,,,,
720,-1.31E-03,-1.01E+00,7.96E-04,3.04E-05,1.48E-04,-1.85E-05
721,-1.31E-03,-1.01E+00,7.96E-04,3.04E-05,1.48E-04,-1.85E-05
722,-8.95E-04,1.14E-02,-3.27E-05,1.54E-04,6.27E-02,6.56E-06
723,-1.51E-04,1.45E-02,9.18E-05,1.62E-05,6.21E-02,-9.75E-06
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.1600000E+03,,,,,,
720,-1.58E-03,-1.01E+00,9.55E-04,2.93E-05,1.42E-04,-1.78E-05
721,-1.58E-03,-1.01E+00,9.55E-04,2.93E-05,1.42E-04,-1.78E-05
722,-9.04E-04,1.20E-02,-3.30E-05,1.73E-04,5.93E-02,7.59E-06
723,-1.53E-04,1.50E-02,9.27E-05,2.09E-05,5.87E-02,-1.26E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.1700000E+03,,,,,,
720,-1.86E-03,-1.01E+00,1.13E-03,2.84E-05,1.38E-04,-1.72E-05
721,-1.86E-03,-1.01E+00,1.13E-03,2.84E-05,1.38E-04,-1.72E-05
722,-9.14E-04,1.24E-02,-3.33E-05,1.92E-04,5.64E-02,8.62E-06
723,-1.54E-04,1.55E-02,9.36E-05,2.55E-05,5.57E-02,-1.53E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.1800000E+03,,,,,,
720,-2.17E-03,-1.01E+00,1.31E-03,2.76E-05,1.34E-04,-1.68E-05
721,-2.17E-03,-1.01E+00,1.31E-03,2.76E-05,1.34E-04,-1.68E-05
722,-9.25E-04,1.28E-02,-3.36E-05,2.11E-04,5.38E-02,9.65E-06
723,-1.56E-04,1.60E-02,9.46E-05,3.00E-05,5.31E-02,-1.81E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.1900000E+03,,,,,,
720,-2.49E-03,-1.01E+00,1.51E-03,2.70E-05,1.31E-04,-1.64E-05
721,-2.49E-03,-1.01E+00,1.51E-03,2.70E-05,1.31E-04,-1.64E-05
722,-9.36E-04,1.32E-02,-3.39E-05,2.31E-04,5.16E-02,1.07E-05
723,-1.58E-04,1.64E-02,9.56E-05,3.45E-05,5.07E-02,-2.08E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.2000000E+03,,,,,,
720,-2.84E-03,-1.02E+00,1.71E-03,2.66E-05,1.29E-04,-1.61E-05
721,-2.84E-03,-1.02E+00,1.71E-03,2.66E-05,1.29E-04,-1.61E-05
722,-9.49E-04,1.36E-02,-3.42E-05,2.52E-04,4.96E-02,1.18E-05
723,-1.60E-04,1.68E-02,9.67E-05,3.91E-05,4.87E-02,-2.36E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.2100000E+03,,,,,,
720,-3.21E-03,-1.02E+00,1.94E-03,2.62E-05,1.27E-04,-1.59E-05
721,-3.21E-03,-1.02E+00,1.94E-03,2.62E-05,1.27E-04,-1.59E-05
722,-9.62E-04,1.40E-02,-3.45E-05,2.73E-04,4.79E-02,1.29E-05
723,-1.61E-04,1.73E-02,9.79E-05,4.37E-05,4.69E-02,-2.63E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.2200000E+03,,,,,,
720,-3.60E-03,-1.02E+00,2.17E-03,2.60E-05,1.26E-04,-1.58E-05
721,-3.60E-03,-1.02E+00,2.17E-03,2.60E-05,1.26E-04,-1.58E-05
722,-9.76E-04,1.44E-02,-3.49E-05,2.94E-04,4.63E-02,1.40E-05
723,-1.63E-04,1.77E-02,9.91E-05,4.83E-05,4.53E-02,-2.92E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.2300000E+03,,,,,,
720,-4.01E-03,-1.02E+00,2.42E-03,2.59E-05,1.26E-04,-1.57E-05
721,-4.01E-03,-1.02E+00,2.42E-03,2.59E-05,1.26E-04,-1.57E-05
722,-9.92E-04,1.48E-02,-3.53E-05,3.17E-04,4.50E-02,1.51E-05
723,-1.66E-04,1.81E-02,1.00E-04,5.31E-05,4.38E-02,-3.21E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.2400000E+03,,,,,,
720,-4.45E-03,-1.02E+00,2.69E-03,2.59E-05,1.26E-04,-1.57E-05
721,-4.45E-03,-1.02E+00,2.69E-03,2.59E-05,1.26E-04,-1.57E-05
722,-1.01E-03,1.51E-02,-3.57E-05,3.40E-04,4.38E-02,1.63E-05
723,-1.68E-04,1.85E-02,1.02E-04,5.80E-05,4.25E-02,-3.50E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.2500000E+03,,,,,,
720,-4.92E-03,-1.03E+00,2.97E-03,2.60E-05,1.26E-04,-1.58E-05
721,-4.92E-03,-1.03E+00,2.97E-03,2.60E-05,1.26E-04,-1.58E-05
722,-1.03E-03,1.55E-02,-3.61E-05,3.65E-04,4.27E-02,1.76E-05
723,-1.70E-04,1.90E-02,1.03E-04,6.31E-05,4.14E-02,-3.81E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.2600000E+03,,,,,,
720,-5.41E-03,-1.03E+00,3.26E-03,2.62E-05,1.27E-04,-1.59E-05
721,-5.41E-03,-1.03E+00,3.26E-03,2.62E-05,1.27E-04,-1.59E-05
722,-1.04E-03,1.59E-02,-3.66E-05,3.91E-04,4.18E-02,1.88E-05
723,-1.73E-04,1.95E-02,1.05E-04,6.83E-05,4.04E-02,-4.12E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.2700000E+03,,,,,,
720,-5.93E-03,-1.03E+00,3.57E-03,2.65E-05,1.29E-04,-1.61E-05
721,-5.93E-03,-1.03E+00,3.57E-03,2.65E-05,1.29E-04,-1.61E-05
722,-1.06E-03,1.64E-02,-3.71E-05,4.18E-04,4.10E-02,2.02E-05
723,-1.76E-04,2.00E-02,1.07E-04,7.38E-05,3.95E-02,-4.46E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.2800000E+03,,,,,,
720,-6.47E-03,-1.03E+00,3.90E-03,2.69E-05,1.31E-04,-1.63E-05
721,-6.47E-03,-1.03E+00,3.90E-03,2.69E-05,1.31E-04,-1.63E-05
722,-1.09E-03,1.68E-02,-3.76E-05,4.46E-04,4.03E-02,2.16E-05
723,-1.79E-04,2.05E-02,1.09E-04,7.95E-05,3.87E-02,-4.80E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.2900000E+03,,,,,,
720,-7.05E-03,-1.04E+00,4.25E-03,2.74E-05,1.33E-04,-1.66E-05
721,-7.05E-03,-1.04E+00,4.25E-03,2.74E-05,1.33E-04,-1.66E-05
722,-1.11E-03,1.73E-02,-3.82E-05,4.76E-04,3.97E-02,2.31E-05
723,-1.82E-04,2.10E-02,1.10E-04,8.55E-05,3.80E-02,-5.16E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3000000E+03,,,,,,
720,-7.66E-03,-1.04E+00,4.62E-03,2.80E-05,1.36E-04,-1.70E-05
721,-7.66E-03,-1.04E+00,4.62E-03,2.80E-05,1.36E-04,-1.70E-05
722,-1.13E-03,1.78E-02,-3.88E-05,5.08E-04,3.92E-02,2.47E-05
723,-1.85E-04,2.16E-02,1.12E-04,9.18E-05,3.73E-02,-5.54E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3100000E+03,,,,,,
720,-8.30E-03,-1.04E+00,5.00E-03,2.88E-05,1.40E-04,-1.75E-05
721,-8.30E-03,-1.04E+00,5.00E-03,2.88E-05,1.40E-04,-1.75E-05
722,-1.16E-03,1.83E-02,-3.94E-05,5.42E-04,3.88E-02,2.63E-05
723,-1.89E-04,2.22E-02,1.15E-04,9.84E-05,3.68E-02,-5.94E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3200000E+03,,,,,,
720,-8.97E-03,-1.05E+00,5.41E-03,2.96E-05,1.44E-04,-1.80E-05
721,-8.97E-03,-1.05E+00,5.41E-03,2.96E-05,1.44E-04,-1.80E-05
722,-1.19E-03,1.89E-02,-4.01E-05,5.78E-04,3.84E-02,2.81E-05
723,-1.93E-04,2.28E-02,1.17E-04,1.05E-04,3.63E-02,-6.36E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3300000E+03,,,,,,
720,-9.69E-03,-1.05E+00,5.84E-03,3.06E-05,1.49E-04,-1.86E-05
721,-9.69E-03,-1.05E+00,5.84E-03,3.06E-05,1.49E-04,-1.86E-05
722,-1.22E-03,1.95E-02,-4.08E-05,6.16E-04,3.82E-02,2.99E-05
723,-1.97E-04,2.35E-02,1.19E-04,1.13E-04,3.59E-02,-6.81E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3400000E+03,,,,,,
720,-1.04E-02,-1.05E+00,6.29E-03,3.18E-05,1.55E-04,-1.93E-05
721,-1.04E-02,-1.05E+00,6.29E-03,3.18E-05,1.55E-04,-1.93E-05
722,-1.25E-03,2.01E-02,-4.15E-05,6.57E-04,3.80E-02,3.19E-05
723,-2.01E-04,2.43E-02,1.22E-04,1.21E-04,3.56E-02,-7.29E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3500000E+03,,,,,,
720,-1.12E-02,-1.06E+00,6.77E-03,3.31E-05,1.61E-04,-2.01E-05
721,-1.12E-02,-1.06E+00,6.77E-03,3.31E-05,1.61E-04,-2.01E-05
722,-1.28E-03,2.08E-02,-4.23E-05,7.01E-04,3.79E-02,3.40E-05
723,-2.06E-04,2.50E-02,1.25E-04,1.29E-04,3.54E-02,-7.79E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3600000E+03,,,,,,
720,-1.21E-02,-1.06E+00,7.27E-03,3.46E-05,1.68E-04,-2.10E-05
721,-1.21E-02,-1.06E+00,7.27E-03,3.46E-05,1.68E-04,-2.10E-05
722,-1.32E-03,2.15E-02,-4.31E-05,7.47E-04,3.79E-02,3.63E-05
723,-2.11E-04,2.59E-02,1.28E-04,1.38E-04,3.52E-02,-8.34E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3700000E+03,,,,,,
720,-1.29E-02,-1.07E+00,7.80E-03,3.62E-05,1.76E-04,-2.20E-05
721,-1.29E-02,-1.07E+00,7.80E-03,3.62E-05,1.76E-04,-2.20E-05
722,-1.35E-03,2.23E-02,-4.40E-05,7.98E-04,3.79E-02,3.87E-05
723,-2.16E-04,2.68E-02,1.31E-04,1.48E-04,3.50E-02,-8.92E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3800000E+03,,,,,,
720,-1.39E-02,-1.07E+00,8.36E-03,3.82E-05,1.86E-04,-2.32E-05
721,-1.39E-02,-1.07E+00,8.36E-03,3.82E-05,1.86E-04,-2.32E-05
722,-1.40E-03,2.31E-02,-4.49E-05,8.52E-04,3.81E-02,4.13E-05
723,-2.22E-04,2.78E-02,1.35E-04,1.58E-04,3.50E-02,-9.54E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.3900000E+03,,,,,,
720,-1.48E-02,-1.08E+00,8.95E-03,4.03E-05,1.96E-04,-2.45E-05
721,-1.48E-02,-1.08E+00,8.95E-03,4.03E-05,1.96E-04,-2.45E-05
722,-1.44E-03,2.41E-02,-4.58E-05,9.10E-04,3.83E-02,4.41E-05
723,-2.28E-04,2.88E-02,1.38E-04,1.69E-04,3.50E-02,-1.02E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4000000E+03,,,,,,
720,-1.59E-02,-1.08E+00,9.57E-03,4.28E-05,2.08E-04,-2.60E-05
721,-1.59E-02,-1.08E+00,9.57E-03,4.28E-05,2.08E-04,-2.60E-05
722,-1.49E-03,2.50E-02,-4.69E-05,9.73E-04,3.85E-02,4.70E-05
723,-2.34E-04,3.00E-02,1.42E-04,1.81E-04,3.50E-02,-1.09E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4100000E+03,,,,,,
720,-1.70E-02,-1.09E+00,1.02E-02,4.55E-05,2.22E-04,-2.76E-05
721,-1.70E-02,-1.09E+00,1.02E-02,4.55E-05,2.22E-04,-2.76E-05
722,-1.54E-03,2.61E-02,-4.79E-05,1.04E-03,3.89E-02,5.03E-05
723,-2.41E-04,3.12E-02,1.46E-04,1.94E-04,3.51E-02,-1.17E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4200000E+03,,,,,,
720,-1.81E-02,-1.09E+00,1.09E-02,4.87E-05,2.37E-04,-2.95E-05
721,-1.81E-02,-1.09E+00,1.09E-02,4.87E-05,2.37E-04,-2.95E-05
722,-1.59E-03,2.73E-02,-4.91E-05,1.12E-03,3.93E-02,5.38E-05
723,-2.48E-04,3.25E-02,1.51E-04,2.08E-04,3.53E-02,-1.25E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4300000E+03,,,,,,
720,-1.93E-02,-1.10E+00,1.17E-02,5.23E-05,2.55E-04,-3.17E-05
721,-1.93E-02,-1.10E+00,1.17E-02,5.23E-05,2.55E-04,-3.17E-05
722,-1.65E-03,2.85E-02,-5.03E-05,1.20E-03,3.98E-02,5.76E-05
723,-2.56E-04,3.39E-02,1.55E-04,2.23E-04,3.55E-02,-1.35E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4400000E+03,,,,,,
720,-2.06E-02,-1.11E+00,1.24E-02,5.63E-05,2.75E-04,-3.42E-05
721,-2.06E-02,-1.11E+00,1.24E-02,5.63E-05,2.75E-04,-3.42E-05
722,-1.72E-03,2.99E-02,-5.16E-05,1.29E-03,4.05E-02,6.17E-05
723,-2.64E-04,3.55E-02,1.60E-04,2.39E-04,3.58E-02,-1.45E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4500000E+03,,,,,,
720,-2.20E-02,-1.11E+00,1.33E-02,6.10E-05,2.97E-04,-3.70E-05
721,-2.20E-02,-1.11E+00,1.33E-02,6.10E-05,2.97E-04,-3.70E-05
722,-1.78E-03,3.14E-02,-5.29E-05,1.38E-03,4.12E-02,6.62E-05
723,-2.73E-04,3.72E-02,1.66E-04,2.57E-04,3.61E-02,-1.56E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4600000E+03,,,,,,
720,-2.35E-02,-1.12E+00,1.42E-02,6.64E-05,3.24E-04,-4.03E-05
721,-2.35E-02,-1.12E+00,1.42E-02,6.64E-05,3.24E-04,-4.03E-05
722,-1.86E-03,3.30E-02,-5.43E-05,1.49E-03,4.20E-02,7.12E-05
723,-2.82E-04,3.91E-02,1.72E-04,2.77E-04,3.66E-02,-1.67E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4700000E+03,,,,,,
720,-2.50E-02,-1.13E+00,1.51E-02,7.25E-05,3.54E-04,-4.40E-05
721,-2.50E-02,-1.13E+00,1.51E-02,7.25E-05,3.54E-04,-4.40E-05
722,-1.94E-03,3.48E-02,-5.58E-05,1.60E-03,4.29E-02,7.66E-05
723,-2.93E-04,4.11E-02,1.78E-04,2.99E-04,3.70E-02,-1.80E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4800000E+03,,,,,,
720,-2.67E-02,-1.14E+00,1.61E-02,7.96E-05,3.88E-04,-4.83E-05
721,-2.67E-02,-1.14E+00,1.61E-02,7.96E-05,3.88E-04,-4.83E-05
722,-2.02E-03,3.68E-02,-5.74E-05,1.73E-03,4.39E-02,8.25E-05
723,-3.04E-04,4.33E-02,1.85E-04,3.22E-04,3.76E-02,-1.95E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.4900000E+03,,,,,,
720,-2.84E-02,-1.15E+00,1.71E-02,8.79E-05,4.29E-04,-5.33E-05
721,-2.84E-02,-1.15E+00,1.71E-02,8.79E-05,4.29E-04,-5.33E-05
722,-2.12E-03,3.90E-02,-5.91E-05,1.87E-03,4.50E-02,8.91E-05
723,-3.16E-04,4.58E-02,1.92E-04,3.49E-04,3.83E-02,-2.11E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.5000000E+03,,,,,,
720,-3.03E-02,-1.16E+00,1.83E-02,9.75E-05,4.76E-04,-5.92E-05
721,-3.03E-02,-1.16E+00,1.83E-02,9.75E-05,4.76E-04,-5.92E-05
722,-2.22E-03,4.14E-02,-6.08E-05,2.03E-03,4.63E-02,9.63E-05
723,-3.28E-04,4.85E-02,2.00E-04,3.78E-04,3.90E-02,-2.28E-04
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
$FREQUENCY =   0.5100000E+03,,,,,,
720,-3.23E-02,-1.17E+00,1.95E-02,1.09E-04,5.31E-04,-6.60E-05
721,-3.23E-02,-1.17E+00,1.95E-02,1.09E-04,5.31E-04,-6.60E-05
722,-2.34E-03,4.40E-02,-6.27E-05,2.21E-03,4.78E-02,1.04E-04
